VISDATA
36
0 0
1 0
2 0
3 0
4 0
5 0
6 0
7 0
8 17  24 35 26 17 25 21 18 19 22 16 29 31 12 32 10 33 11 
9 0
10 17  26 25 24 35 29 17 21 18 19 22 31 16 32 8 33 12 11 
11 17  26 25 24 29 35 17 21 31 18 19 22 16 32 33 8 12 10 
12 17  29 25 26 24 31 35 17 21 18 19 22 32 33 8 16 11 10 
13 0
14 0
15 0
16 17  31 29 25 26 32 24 33 35 8 17 21 18 19 22 10 11 12 
17 17  31 29 32 8 33 10 11 25 12 26 24 16 35 19 18 22 21 
18 17  29 25 26 31 24 32 8 33 11 10 12 35 16 21 17 22 19 
19 17  29 25 31 26 32 24 8 33 11 10 12 35 16 21 17 22 18 
20 0
21 17  31 32 8 33 29 10 11 12 25 16 26 24 18 35 19 22 17 
22 17  29 31 25 32 26 8 33 24 10 11 12 16 35 21 17 18 19 
23 0
24 17  11 8 10 12 16 18 19 33 22 32 17 21 31 29 35 25 26 
25 17  11 12 10 16 18 19 8 22 17 33 21 32 35 31 29 24 26 
26 17  11 10 12 16 8 18 19 22 33 17 32 21 31 35 29 24 25 
27 0
28 0
29 17  16 12 19 18 22 11 17 10 21 8 33 35 32 24 26 25 31 
30 0
31 17  16 17 12 19 22 18 21 11 10 35 8 33 24 26 32 25 29 
32 17  16 17 21 35 19 22 18 24 26 25 12 11 29 10 8 31 33 
33 17  35 17 21 24 19 18 22 16 26 25 29 31 12 11 10 8 32 
34 0
35 17  8 33 11 10 32 12 16 18 31 19 22 29 17 25 21 26 24 
